Identification of Establishment,Region,Total Annual Sales in Fiscal Year,Permanent Full-time Workers,Total Annual Cost of Labor,Total Annual Cost of Electricity,Number of Highly Skilled Jobs Worker,Top Manager's Experience in Sector,log of Firm Performance per Worker,log of Labor Cost per Worker,log of Electricity Cost per Worker,log of Number of High Skilled Workers,log of Experience of Top Manager,log of Firm Age,"Owners of the firm females (Yes=1, No=0)","Top Manager Female (Yes=1, No=0)","Have an internationally recognized quality certification? (Yes=1, No=0)","Establishment experience power outages (Yes=1, No=0)","Does this establishment have its own website or social media page? (Yes=1, No=0)","Inspected by tax officials (Yes=1, No=0)","Has current or savings account (Yes=1, No=0)","Have an over-draft facility (Yes=1, No=0)","Have a line of credit (Yes=1, No=0)","Inadequately educated workforce (Yes=1, No=0)","Business licensing and permits (Yes=1, No=0)","Corruption (Yes=1, No=0)","Access to land (Yes=1, No=0)","Political instability (Yes=1, No=0)","Access to finance (Yes=1, No=0)","Electricity (Yes=1, No=0)","Practices of competitors in the informal sector  (Yes=1, No=0)","Tax administration  (Yes=1, No=0)","Labor regulations  (Yes=1, No=0)","Tax rates  (Yes=1, No=0)","Customs and trade regulations  (Yes=1, No=0)","Transport (Yes=1, No=0)","Courts (Yes=1, No=0)","Crime, theft and disorder (Yes=1, No=0)"
862684,Rajshahi,30000000,8,2184000,600000,2,13,15.13726643,12.51722753,11.22524506,1.098612289,2.63905733,3.713572067,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862685,Chattogram,25000000,33,4356000,225000,25,15,13.53787886,11.79055743,8.827352564,3.258096538,2.772588722,2.302585093,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862686,Rajshahi,800000,5,600000,72000,1,20,11.98293034,11.69524869,9.574997374,0.693147181,3.044522438,2.564949357,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862687,Dhaka MA,1400000,5,600000,100000,4,8,12.5425456,11.69524869,9.903497552,1.609437912,2.197224577,2.302585093,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862689,Greater Dhaka,50000000,28,5800000,14100000,0,15,14.39532907,12.24116414,13.12948092,0,2.772588722,2.708050201,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862690,Rajshahi,7000000,7,900000,300000,1,18,13.8155107,11.764241,10.66563094,0.693147181,2.944438979,2.302585093,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862691,Greater Dhaka,10420000,40,4120000,2400000,2,45,12.47035824,11.54248451,11.00210026,1.098612289,3.828641396,3.850147602,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862692,Rajshahi,70000000,25,5000000,500000,5,18,14.84512999,12.20607285,9.903489553,1.791759469,2.944438979,1.386294361,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862693,Rajshahi,6000000,20,1200000,240000,3,34,12.61153792,11.00210067,9.392666095,1.386294361,3.555348061,3.610917913,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862694,Barishal,3000000,25,2500000,180000,24,20,11.69524736,11.51292586,8.881841861,3.218875825,3.044522438,3.044522438,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862695,Chattogram,90000000,120,6000000,600000,30,2,13.5278285,10.81977845,8.517194858,3.433987204,1.098612289,2.564949357,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862696,Khulna,1100000000,27,4000000,11400000,10,8,17.52273915,11.9059683,12.95328714,2.397895273,2.197224577,2.197224577,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
862697,Sylhet,300000000,7,2400000,1500000,2,30,17.57338289,12.74506956,12.27506618,1.098612289,3.433987204,3.33220451,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862698,Khulna,18000000,15,1600000,240000,12,20,13.99783217,11.57746461,9.680348168,2.564949357,3.044522438,2.708050201,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862699,Sylhet,10000000,30,120000,150000,5,12,12.71689837,8.294057973,8.517199858,1.791759469,2.564949357,3.713572067,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862700,Rajshahi,11000000,70,5400000,4000000,6,30,11.96491068,11.25341445,10.95330993,1.945910149,3.433987204,4.17438727,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862701,Sylhet,140000000,56,6200000,600000,40,38,14.7318013,11.61470832,9.27933491,3.713572067,3.663561646,2.63905733,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862703,Greater Dhaka,18000000,20,3045000,450000,1,40,13.7101501,11.93327951,10.02127281,0.693147181,3.713572067,3.784189634,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862704,Rajshahi,600000,5,620000,60000,2,40,11.69524869,11.72803846,9.392678595,1.098612289,3.713572067,3.871201011,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862705,Chattogram,16000000,25,3000000,150000,10,10,13.36922352,11.69524736,8.699521415,2.397895273,2.397895273,2.833213344,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862706,Rajshahi,20000000,75,9000000,8500000,7,25,12.49375477,11.69524713,11.63808873,2.079441542,3.258096538,2.995732274,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862707,Sylhet,45000000,10,2045000,480000,0,30,15.31958798,12.22832374,10.77895837,0,3.433987204,2.564949357,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862708,Khulna,500000000,25,6000000,1200000,25,18,16.81124283,12.38839437,10.77895712,3.258096538,2.944438979,2.708050201,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862709,Khulna,5000000,20,2500000,180000,8,5,12.4292164,11.73606942,9.104985412,2.197224577,1.791759469,3.218875825,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862710,Khulna,500000000,35,6000000,2400000,28,25,16.4747706,12.05192213,11.13563165,3.36729583,3.258096538,3.295836866,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862711,Khulna,8000000,5,3000000,480000,0,5,14.28551431,13.30468527,11.47210555,0,1.791759469,3.465735903,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862712,Sylhet,26000000,25,2640000,140000,20,28,13.85473131,11.56741403,8.63052902,3.044522438,3.36729583,2.890371758,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862714,Greater Dhaka,23000000,30,4520000,650000,2,50,13.54980744,11.92282539,9.983531799,1.098612289,3.931825633,3.931825633,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862715,Sylhet,120000000,300,29000000,240000,150,6,12.89921983,11.47902395,6.684615894,5.017279837,1.945910149,2.197224577,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862716,Rajshahi,800000000,90,17300000,360000,20,49,16.00031262,12.16640745,8.294052418,3.044522438,3.912023005,2.63905733,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862717,Chattogram,30000000,60,3000000,1200000,8,18,13.12236341,10.81977862,9.903488386,2.197224577,2.944438979,2.944438979,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862718,Greater Dhaka,280000000,54,7200000,7200000,40,30,15.46131612,11.80060768,11.80060768,3.713572067,3.433987204,3.433987204,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862719,Dhaka MA,3200000,5,500000,30000,5,10,13.36922377,11.51292746,8.699548081,1.791759469,2.397895273,2.708050201,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862720,Barishal,40000000,70,12000000,700000,70,24,13.2558948,12.05192205,9.210341801,4.262679877,3.218875825,2.772588722,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862721,Rajshahi,1000000,5,950000,30000,2,29,12.20607365,12.1547804,8.699548081,1.098612289,3.401197382,3.433987204,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
862722,Rajshahi,800000000,30,4270000,240000,6,30,17.09892491,11.86592724,8.987200987,1.945910149,3.433987204,3.044522438,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862723,Khulna,1500000,13,1332000,90000,12,26,11.65602698,11.53724352,8.842626703,2.564949357,3.295836866,3.295836866,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862724,Rajshahi,400000000,100,14400000,1500000,12,8,15.20180492,11.87756865,9.615806147,2.564949357,2.197224577,1.791759469,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862725,Rajshahi,450000000,170,36400000,120000000,100,30,14.78895971,12.27428092,13.46720387,4.615120517,3.433987204,2.397895273,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862726,Khulna,400000000,120,15000000,2700000,60,15,15.01948336,11.73606908,10.02127096,4.110873864,2.772588722,2.772588722,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862727,Dhaka MA,7000000,35,5000000,300000,6,24,12.20607279,11.86960061,9.056193025,1.945910149,3.218875825,3.218875825,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862729,Khulna,1250000000,200,31200000,2040000,100,13,15.64809202,11.95761132,9.230143489,4.615120517,2.63905733,2.772588722,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862730,Barishal,1320000000,250,60000000,24000000,125,38,15.47943666,12.38839422,11.47210351,4.836281907,3.663561646,3.663561646,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862731,Khulna,840000000,300,30000000,20000000,100,12,14.84512998,11.5129255,11.10746041,4.615120517,2.564949357,2.564949357,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862732,Rajshahi,90000000,80,10800000,5600000,1,37,13.9332936,11.81303015,11.1562507,0.693147181,3.63758616,3.63758616,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862733,Dhaka MA,28000000,120,13600000,450000,100,26,12.36022336,11.63808868,8.229513341,4.615120517,3.295836866,3.433987204,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862734,Khulna,850000000,200,25000000,18000000,120,30,15.26242954,11.73606906,11.407565,4.795790546,3.433987204,2.564949357,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862735,Chattogram,25000000,150,15340000,1000000,100,53,12.02375113,11.53533912,8.804876264,4.615120517,3.988984047,3.828641396,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862736,Rajshahi,17000000,200,22000000,1200000,76,30,11.35040659,11.60823569,8.699515582,4.343805422,3.433987204,2.397895273,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862737,Greater Dhaka,80000000,7,360000,700000,0,20,16.25162706,10.84795194,11.51292689,0,3.044522438,2.564949357,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862738,Chattogram,24000000,80,5670000,1200000,3,27,12.6115378,11.16867322,9.615806313,1.386294361,3.33220451,3.433987204,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862739,Rajshahi,150000000,180,75000000,3000000,100,10,13.63318901,12.94004183,9.721166329,4.615120517,2.397895273,4.718498871,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862740,Greater Dhaka,75000000,130,14000000,600000,10,30,13.26546423,11.58703351,8.43715215,2.397895273,3.433987204,2.995732274,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862742,Khulna,40000000,200,20000000,7000000,100,17,12.20607267,11.51292551,10.46310348,4.615120517,2.890371758,2.890371758,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862743,Chattogram,200000000,877,90600000,7200000,500,45,12.33732094,11.54545779,9.013084731,6.216606101,3.828641396,4.859812404,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862744,Chattogram,85000000,200,23200000,8400000,100,30,12.95984446,11.66134551,10.64542502,4.615120517,3.433987204,3.465735903,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862745,Sylhet,20000000,8,8000000,550000,0,30,14.73180134,13.81551068,11.13823383,0,3.433987204,3.465735903,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862746,Sylhet,21000000,15,10000000,100000,8,40,14.15198284,13.41004555,8.804885264,2.197224577,3.713572067,3.135494216,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862747,Rajshahi,2500000,14,820000,200000,2,20,12.09274436,10.97800351,9.567020316,1.098612289,3.044522438,3.33220451,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862748,Khulna,40000000,12,4000000,2400000,6,7,15.01948339,12.71689852,12.20607306,1.945910149,2.079441542,3.295836866,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862749,Greater Dhaka,30000000,65,12500000,1200000,62,15,13.0423207,12.16685201,9.823445678,4.143134726,2.772588722,3.135494216,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862750,Greater Dhaka,6500000,10,1200000,50000,9,17,13.3847278,11.69524786,8.517213191,2.302585093,2.890371758,1.791759469,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862751,Greater Dhaka,50000000,25,8000000,2000000,33,12,14.50865776,12.6760764,11.28978241,3.526360525,2.564949357,2.564949357,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862752,Greater Dhaka,15000000,12,1500000,700000,14,22,14.03865418,11.73606968,10.97393039,2.708050201,3.135494216,1.945910149,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
862753,Rajshahi,3500000,15,1470000,120000,3,40,12.36022361,11.49272344,8.987205154,1.386294361,3.713572067,3.135494216,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862754,Greater Dhaka,22000000,20,2940000,480000,19,20,13.91082078,11.89818821,10.08581119,2.995732274,3.044522438,2.890371758,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862755,Rajshahi,3000000,8,1045000,84000,3,21,12.83468164,11.78008686,9.259142441,1.386294361,3.091042453,2.197224577,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862756,Greater Dhaka,9000000,10,1500000,360000,10,30,13.71015015,11.91839124,10.491277,2.397895273,3.433987204,3.433987204,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862757,Greater Dhaka,7000000,13,1500000,360000,12,20,13.19647149,11.65602698,10.22891273,2.564949357,3.044522438,2.833213344,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862758,Greater Dhaka,4000000,10,1400000,420000,9,12,12.89922008,11.84939842,10.64542728,2.302585093,2.564949357,2.564949357,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862759,Greater Dhaka,42000000,11,1320000,66000,4,17,15.15528493,11.69524778,8.6995299,1.609437912,2.890371758,2.890371758,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862761,Greater Dhaka,8000000,8,2000000,780000,10,15,13.81551068,12.4292167,11.48760894,2.397895273,2.772588722,3.044522438,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862763,Greater Dhaka,7000000,14,2400000,48000,12,4,13.12236352,12.05192238,8.139919793,2.564949357,1.609437912,1.609437912,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862764,Greater Dhaka,7000000,12,2500000,1500000,10,27,13.2765142,12.24689504,11.73606968,2.397895273,3.33220451,2.833213344,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862765,Greater Dhaka,10000000,11,1144000,220000,8,9,13.72020048,11.55214705,9.903492098,2.197224577,2.302585093,2.302585093,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862766,Greater Dhaka,15000000,15,1500000,600000,15,40,13.81551062,11.51292613,10.5966364,2.772588722,3.713572067,3.135494216,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862767,Rajshahi,8000000,16,2400000,84000,3,24,13.1223635,11.91839099,8.56599526,1.386294361,3.218875825,3.17805383,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862770,Greater Dhaka,460000000,1000,31500000,1200000,150,45,13.03898177,10.35774286,7.090077669,5.017279837,3.828641396,3.496507561,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862771,Rajshahi,10500000,30,4800000,360000,28,35,12.76568853,11.9829293,9.392664707,3.36729583,3.583518938,3.135494216,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862772,Greater Dhaka,50000000,100,3000000,800000,27,39,13.1223634,10.30895299,8.987198071,3.33220451,3.688879454,3.496507561,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862773,Greater Dhaka,7000000,10,1200000,360000,10,40,13.45883576,11.69524786,10.491277,2.397895273,3.713572067,3.091042453,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862774,Greater Dhaka,9000000,18,1700000,900000,14,25,13.12236349,11.45576764,10.8197794,2.708050201,3.258096538,3.218875825,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862776,Greater Dhaka,18000000,85,11220000,9000000,74,25,12.26323111,11.79055729,11.57008399,4.317488114,3.258096538,3.135494216,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862777,Greater Dhaka,10200000,23,2662000,850000,13,20,13.00240416,11.65909444,10.51749859,2.63905733,3.044522438,2.48490665,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862779,Greater Dhaka,27000000,42,3860000,720000,31,24,13.37367784,11.42850838,9.749338262,3.465735903,3.218875825,2.708050201,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862780,Greater Dhaka,20000000,14,2800000,1250000,17,18,14.17218555,12.206073,11.39959758,2.890371758,2.944438979,3.33220451,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862781,Dhaka MA,15000000,6,1500000,60000,6,6,14.73180136,12.42921686,9.210357039,1.945910149,1.945910149,2.302585093,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862782,Greater Dhaka,7000000,12,1570000,180000,8,19,13.2765142,11.78168016,9.615811036,2.197224577,2.995732274,2.995732274,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862783,Greater Dhaka,14000000,20,2400000,600000,16,8,13.45883569,11.69524744,10.30895433,2.833213344,2.197224577,1.945910149,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862784,Khulna,2800000,5,700000,120000,4,15,13.23569242,11.84939913,10.08581744,1.609437912,2.772588722,3.258096538,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862786,Chattogram,8500000,20,1800000,250000,6,27,12.95984457,11.4075655,9.433487923,1.945910149,3.33220451,2.833213344,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862787,Greater Dhaka,5000000,15,1500000,600000,14,22,12.71689847,11.51292613,10.5966364,2.708050201,3.135494216,3.135494216,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862788,Greater Dhaka,8000000,30,2800000,144000,29,21,12.49375484,11.44393295,8.476378141,3.401197382,3.091042453,2.944438979,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862790,Greater Dhaka,35000000,16,2500000,780000,21,14,14.59826993,11.95921297,10.79446176,3.091042453,2.708050201,2.708050201,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862791,Greater Dhaka,10000000,7,1000000,240000,6,15,14.1721856,11.86960141,10.44248822,1.945910149,2.772588722,1.791759469,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862792,Chattogram,8000000,30,3200000,360000,20,18,12.49375484,11.5774643,9.392664707,3.044522438,2.944438979,2.63905733,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
862793,Greater Dhaka,19500000,10,1500000,500000,10,14,14.48333998,11.91839124,10.81978028,2.397895273,2.708050201,2.708050201,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862794,Rajshahi,5300000,22,1980000,18000,8,30,12.39217511,11.40756545,6.707140138,2.197224577,3.433987204,3.295836866,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862795,Greater Dhaka,9000000,12,1200000,360000,14,22,13.5278286,11.5129263,10.30895544,2.708050201,3.135494216,2.397895273,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862796,Greater Dhaka,5500000,5,790000,75000,3,4,13.91082092,11.97035158,9.615818813,1.386294361,1.609437912,3.135494216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862798,Chattogram,6300000,25,2100000,84000,14,5,12.43718453,11.33857255,8.119708158,2.708050201,1.791759469,1.609437912,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
862799,Khulna,2000000,5,700000,30000,2,16,12.89922033,11.84939913,8.699548081,1.098612289,2.833213344,3.63758616,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862800,Greater Dhaka,2000000,10,1000000,240000,8,20,12.20607315,11.51292646,10.08581328,2.197224577,3.044522438,3.871201011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862801,Khulna,12000000,22,5000000,400000,16,15,13.20937484,12.33390622,9.808179873,2.833213344,2.772588722,2.708050201,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862802,Greater Dhaka,87500000,200,18600000,600000,90,30,12.988832,11.44035483,8.006369234,4.510859507,3.433987204,3.33220451,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862803,Greater Dhaka,60000000,100,6000000,1200000,47,22,13.30468495,11.00210001,9.392662762,3.871201011,3.135494216,3.091042453,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862805,Greater Dhaka,19400000,35,3840000,250000,20,14,13.22543561,11.60563512,8.873872135,3.044522438,2.708050201,2.564949357,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862806,Greater Dhaka,8000000,19,3423000,1100000,28,22,12.95051325,12.10158923,10.96638267,3.36729583,3.135494216,2.995732274,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862807,Greater Dhaka,6000000,7,300000,120000,10,7,13.66136004,10.66563094,9.749345206,2.397895273,2.079441542,3.555348061,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862809,Greater Dhaka,48000000,30,6000000,2760000,25,15,14.28551421,12.20607281,11.42954422,3.258096538,2.772588722,2.564949357,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862810,Dhaka MA,45000000,140,24000000,2500000,10,22,12.68053065,12.05192201,9.790159267,2.397895273,3.135494216,3.135494216,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
862811,Greater Dhaka,22000000,40,4450000,180000,30,20,13.2176736,11.61953542,8.411838231,3.433987204,3.044522438,2.708050201,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862812,Greater Dhaka,30000000,17,2500000,120000,5,25,14.38349463,11.89858835,8.862042011,1.791759469,3.258096538,1.791759469,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
862813,Greater Dhaka,9800000,36,3300000,660000,20,5,12.51437411,11.42591439,9.816477691,3.044522438,1.791759469,1.609437912,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862814,Greater Dhaka,23000000,18,430000,1200000,18,25,14.06063306,10.08117106,11.10746119,2.944438979,3.258096538,3.63758616,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862815,Greater Dhaka,18000000,14,2150000,860000,10,20,14.06682504,11.94192154,11.0256315,2.397895273,3.044522438,3.091042453,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862817,Dhaka MA,12000000,15,2100000,50000,2,16,13.59236709,11.84939818,8.111748083,1.098612289,2.833213344,2.708050201,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862818,Dhaka MA,80000000,75,7780000,1800000,70,15,13.88004909,11.54957891,10.08580966,4.262679877,2.772588722,2.890371758,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862820,Rajshahi,50000000,20,2000000,1200000,12,47,14.73180131,11.51292596,11.00210067,2.564949357,3.871201011,3.871201011,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
